Chapter,Starter Post,Time Post,Views,Replies
"One Piece Chapter 902: ""End Roll""",Molvvetto D. Persie,"Apr 20, 2018","13,567",71
"One Piece Chapter 901: ""Even if You Die, Don't Die!!!""",Molvvetto D. Persie,"Apr 13, 2018","8,030",70
"One Piece Chapter 900: ""Bad End Musical""",Molvvetto D. Persie,"Mar 30, 2018","11,932",126
"One Piece Chapter 899: ""The Last Stand""",Seiryu,"Mar 23, 2018","16,241",42
"One Piece Chapter 898: ""We'll Definitely Return""",Seiryu,"Mar 16, 2018","12,117",68
"One Piece Chapter 897: ""Pekoms' Cacao Island Escape Plan""",Seiryu,"Mar 9, 2018","5,537",40
"One Piece Chapter 896: ""One Last Wish""",Dustfinger,"Mar 2, 2018","21,983",70
"One Piece Chapter 895: ""Luffy vs Katakuri""",Chaudfontaine,"Feb 16, 2018","30,165",52
"One Piece Chapter 894: ""12:05 AM""",Kyros,"Feb 8, 2018","32,196",67
"One Piece Chapter 893: ""36th Daughter of the Charlotte Family - Flampe""",Seiryu,"Feb 2, 2018","14,375",58
"One Piece Chapter 892: ""Recognised as Strong Opponents""",Chaudfontaine,"Jan 26, 2018","23,400",78
"One Piece Chapter 891: ""Believing in me""",Chaudfontaine,"Jan 12, 2018","10,947",116
"One Piece Chapter 890 ""Big Mom on Deck""",Chaudfontaine,"Dec 29, 2017","18,453",113
"One Piece Chapter 889: ""An Unknown Mama""",Seiryu,"Dec 22, 2017","15,737",46
"One Piece Chapter 888: ""Lion""",Kyros,"Dec 8, 2017","14,115",94
"One Piece Chapter 887: ""Somewhere, Someone is Wishing for Your Happiness""",Marco Polo,"Dec 1, 2017","7,211",47
"One Piece Chapter 886: ""That's The Way I Live""",Owl,"Nov 23, 2017","13,360",92
"One Piece Chapter 885: ""It's Brulee!""",Owl,"Nov 10, 2017","7,052",48
"One Piece Chapter 884: ""Who""",Dustfinger,"Nov 2, 2017","23,055",58
"One Piece Chapter 883: ""Merienda""",Dustfinger,"Oct 27, 2017","14,006",52
"One Piece Chapter 882: ""Beyond the expectations of a Yonko""",Deathbloke,"Oct 20, 2017","11,283",56
"One Piece Chapter 881: ""A Wave Room""",Dustfinger,"Oct 5, 2017","14,697",81
"One Piece Chapter 880: ""No Way Out""",Owl,"Sep 29, 2017","13,735",61
One Piece Chapter 880 cover to Video,DT Media,"Oct 2, 2017",196,3
"One Piece Chapter 879: ""Big Mom Commander Katakuri""",Deathbloke,"Sep 22, 2017","16,551",59
"One Piece Chapter 878: ""Mink Tribe, Guardians Chief Pedro""",Deathbloke,"Sep 13, 2017","20,795",68
"One Piece Chapter 875: ""A Woman's Honor""",Gogu48,"Aug 17, 2017","15,908",40
"One Piece Chapter 877: ""I'm Not That Sweet""",JollyR,"Aug 31, 2017","12,747",69
"One Piece Chapter 876 ""Pudding Coincidentally Appears""",Chaudfontaine,"Aug 24, 2017","14,264",46
"One Piece Chapter 874: ""King Baum""",Kyros,"Aug 4, 2017","15,799",63
"One Piece Chapter 873: ""Trapped Like Sweets in a Cage""",Owl,"Jul 20, 2017","40,006",81
"One Piece Chapter 870: ""Parting""",Owl,"Jun 29, 2017","20,763",66
"One Piece Chapter 872: ""Soft and Fluffy""",Owl,"Jul 12, 2017","20,660",49
"One Piece Chapter 871: ""Go, Caesar!""",Owl,"Jul 6, 2017","19,525",80
"One Piece Chapter 869: ""Under Siege""",Chaudfontaine,"Jun 15, 2017","13,610",48
"One Piece Chapter 868: ""KX Launcher""",Chaudfontaine,"Jun 8, 2017","14,390",49
"One Piece Chapter 867: ""Happy Birthday""",Owl,"Jun 1, 2017","17,502",57
"One Piece Chapter 866: ""Natural Born Destroyer""",Marco Polo,"May 25, 2017","21,222",49
"One Piece Chapter 865: ""Hey Mother""",menma,"May 11, 2017","20,716",87
"One Piece Chapter 864: ""The Vinsmoke Family Slaughter Plot""",Owl,"May 2, 2017","18,901",40
"One Piece Chapter 863: ""The Consummate Gentleman""",Dustfinger,"Apr 20, 2017","20,058",334
"One Piece Chapter 862: ""The Consummate Thinker""",Owl,"Apr 13, 2017","17,864",102
"One Piece Chapter 861: ""The Consummate Actor""",Dustfinger,"Mar 30, 2017","13,845",49
"One Piece Chapter 860: ""10:00 Opening of the Banquet""",Chaudfontaine,"Mar 23, 2017","16,379",69
"One Piece Chapter 859: ""The Yonkou Assassination Plot""",X Drake,"Mar 15, 2017","17,167",32
"One Piece Chapter 858: ""Meeting""",Dustfinger,"Mar 9, 2017","16,550",33
"One Piece Chapter 857: ""Rook""",Dustfinger,"Mar 2, 2017","16,586",49
"One Piece Chapter 856: ""Liar""",Chaudfontaine,"Feb 16, 2017","12,591",30
"One Piece Chapter 855: ""Grrrrrrooowwwllll""",Kyros,"Feb 9, 2017","11,632",35
"One Piece Chapter 854: ""What The Hell Am I Doing?!""",Icecrusher,"Feb 2, 2017","10,791",44
"One Piece Chapter 853: ""Not Here""",Marco Polo,"Jan 26, 2017","18,399",43
"One Piece Chapter 852 ""The Germa Failure""",Chaudfontaine,"Jan 12, 2017","18,618",165
"One Piece Chapter 851: ""Tab End""",Dustfinger,"Dec 29, 2016","17,418",74
"One Piece Chapter 850: ""Ray of Hope""",Dustfinger,"Dec 22, 2016","17,863",91
"One Piece Chapter 849: ""Bropper in Mirrorland""",Dustfinger,"Dec 8, 2016","11,967",80
"One Piece Chapter 848: ""Goodbye""",Dustfinger,"Dec 1, 2016","18,036",57
"One Piece Chapter 847: ""Luffy and Big Mom""",Dustfinger,"Nov 24, 2016","17,599",44
"One Piece Chapter 846: ""Egg Defense""",Dustfinger,"Nov 17, 2016","11,657",67
"One Piece Chapter 845: ""The Enraged Army""",Chaudfontaine,"Nov 2, 2016","18,009",69
"One Piece Chapter 844: ""Luffy vs Sanji""",Dustfinger,"Oct 27, 2016","38,250",94
"One Piece Chapter 843: ""Vinsmoke Sanji""",Dustfinger,"Oct 20, 2016","22,485",75
"One Piece Chapter 841: ""To The East Blue""",Glen Flores,"Sep 29, 2016","13,212",74
"One Piece Chapter 842: ""The Power of Fullness""",Glen Flores,"Oct 5, 2016","12,475",72
"One Piece Chapter 839: ""I Shall Never Forget The Debt That I Owe You""",Red,"Sep 14, 2016","21,389",73
